input_code,num_sims,budget,delay,budget_used,lp_budget,obj_value,lp_obj_value,gm_value,lp_runtime,lp_work,input_file,int_filename,network
PH1_S100_0,100,9,6,14,9.0,18.56,18.565111111111214,6,5.274424076080322,1.6439638578847884,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I6-B9.csv,PH
PH2_S100_0,100,9,6,13,8.999999999999998,14.25,14.248666666666407,6,1.615243911743164,1.1832778450891168,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I6-B9.csv,PH
PH3_S100_0,100,9,6,15,9.0,19.92,19.748888888889194,6,6.023694038391113,5.824298000073059,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I6-B9.csv,PH
PH4_S100_0,100,9,6,15,9.0,19.92,19.748888888889194,6,5.691230058670044,5.824298000073059,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I6-B9.csv,PH
PH1_S100_0,100,1,12,6,1.0,44.73,44.715497835497374,6,2.767199993133545,2.298729036070172,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I12-B1.csv,PH
PH2_S100_0,100,1,12,6,1.0000000000000002,37.84,37.46050000000093,6,2.240306854248047,1.7023045488851964,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I12-B1.csv,PH
PH3_S100_0,100,1,12,6,0.9999999999999998,82.17,83.23959722222662,6,10.38291597366333,7.755546767743485,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I12-B1.csv,PH
PH4_S100_0,100,1,12,6,0.9999999999999998,82.17,83.23959722222662,6,9.975412130355837,7.755546767743485,../work/dags/PH4_S100_0_dag.csv,../work/interventions/PH4_S100_0/comp_I12-B1.csv,PH
PH1_S100_0,100,3,12,13,3.0,35.89,35.63358256693375,6,2.717615127563477,2.389430742481812,../work/dags/PH1_S100_0_dag.csv,../work/interventions/PH1_S100_0/comp_I12-B3.csv,PH
PH2_S100_0,100,3,12,15,3.0,30.77,30.71230158730352,6,1.797856092453003,1.4364973362057074,../work/dags/PH2_S100_0_dag.csv,../work/interventions/PH2_S100_0/comp_I12-B3.csv,PH
PH3_S100_0,100,3,12,15,3.0000000000000013,51.59,52.50159722222099,6,6.4908668994903564,4.529244389177069,../work/dags/PH3_S100_0_dag.csv,../work/interventions/PH3_S100_0/comp_I12-B3.csv,PH
